instance,algorithm,horizon,epsilon,randomSeed,REG
../instances/i-1.txt, epsilon-greedy,50,0.002,24.5,17.88
../instances/i-1.txt, epsilon-greedy,50,0.02,24.5,16.36
../instances/i-1.txt, epsilon-greedy,50,0.2,24.5,6.3
../instances/i-1.txt, epsilon-greedy,200,0.002,24.5,71.28
../instances/i-1.txt, epsilon-greedy,200,0.02,24.5,38.58
../instances/i-1.txt, epsilon-greedy,200,0.2,24.5,12.78
../instances/i-1.txt, epsilon-greedy,800,0.002,24.5,221.86
../instances/i-1.txt, epsilon-greedy,800,0.02,24.5,54.64
../instances/i-1.txt, epsilon-greedy,800,0.2,24.5,34.74
../instances/i-1.txt, epsilon-greedy,3200,0.002,24.5,450.94
../instances/i-1.txt, epsilon-greedy,3200,0.02,24.5,66.86
../instances/i-1.txt, epsilon-greedy,3200,0.2,24.5,131.58
../instances/i-1.txt, epsilon-greedy,12800,0.002,24.5,565.64
../instances/i-1.txt, epsilon-greedy,12800,0.02,24.5,99.12
../instances/i-1.txt, epsilon-greedy,12800,0.2,24.5,505.58
../instances/i-1.txt, epsilon-greedy,51200,0.002,24.5,589.54
../instances/i-1.txt, epsilon-greedy,51200,0.02,24.5,259.84
../instances/i-1.txt, epsilon-greedy,51200,0.2,24.5,2031.68
../instances/i-1.txt, epsilon-greedy,204800,0.002,24.5,651.64
../instances/i-1.txt, epsilon-greedy,204800,0.02,24.5,909.62
../instances/i-1.txt, epsilon-greedy,204800,0.2,24.5,8183.36
../instances/i-1.txt, kl-ucb,50,0.0,24.5,3.12
../instances/i-1.txt, kl-ucb,200,0.0,24.5,4.6
../instances/i-1.txt, kl-ucb,800,0.0,24.5,10.98
../instances/i-1.txt, kl-ucb,3200,0.0,24.5,16.18
../instances/i-1.txt, kl-ucb,12800,0.0,24.5,16.92
../instances/i-1.txt, kl-ucb,51200,0.0,24.5,18.58
../instances/i-1.txt, kl-ucb,204800,0.0,24.5,28.12
../instances/i-1.txt, round-robin,50,0.0,24.5,9.76
../instances/i-1.txt, round-robin,200,0.0,24.5,38.18
../instances/i-1.txt, round-robin,800,0.0,24.5,159.8
../instances/i-1.txt, round-robin,3200,0.0,24.5,641.08
../instances/i-1.txt, round-robin,12800,0.0,24.5,2561.38
../instances/i-1.txt, round-robin,51200,0.0,24.5,10224.88
../instances/i-1.txt, round-robin,204800,0.0,24.5,40947.96
../instances/i-1.txt, thompson-sampling,50,0.0,24.5,2.46
../instances/i-1.txt, thompson-sampling,200,0.0,24.5,2.82
../instances/i-1.txt, thompson-sampling,800,0.0,24.5,6.2
../instances/i-1.txt, thompson-sampling,3200,0.0,24.5,9.02
../instances/i-1.txt, thompson-sampling,12800,0.0,24.5,7.9
../instances/i-1.txt, thompson-sampling,51200,0.0,24.5,8.52
../instances/i-1.txt, thompson-sampling,204800,0.0,24.5,17.7
../instances/i-1.txt, ucb,50,0.0,24.5,4.64
../instances/i-1.txt, ucb,200,0.0,24.5,9.7
../instances/i-1.txt, ucb,800,0.0,24.5,20.94
../instances/i-1.txt, ucb,3200,0.0,24.5,32.56
../instances/i-1.txt, ucb,12800,0.0,24.5,40.58
../instances/i-1.txt, ucb,51200,0.0,24.5,49.1
../instances/i-1.txt, ucb,204800,0.0,24.5,66.14
../instances/i-2.txt, epsilon-greedy,50,0.002,24.5,18.88
../instances/i-2.txt, epsilon-greedy,50,0.02,24.5,17.46
../instances/i-2.txt, epsilon-greedy,50,0.2,24.5,8.66
../instances/i-2.txt, epsilon-greedy,200,0.002,24.5,74.84
../instances/i-2.txt, epsilon-greedy,200,0.02,24.5,49.1
../instances/i-2.txt, epsilon-greedy,200,0.2,24.5,21.28
../instances/i-2.txt, epsilon-greedy,800,0.002,24.5,260.02
../instances/i-2.txt, epsilon-greedy,800,0.02,24.5,105.54
../instances/i-2.txt, epsilon-greedy,800,0.2,24.5,52.76
../instances/i-2.txt, epsilon-greedy,3200,0.002,24.5,771.22
../instances/i-2.txt, epsilon-greedy,3200,0.02,24.5,199.76
../instances/i-2.txt, epsilon-greedy,3200,0.2,24.5,150.88
../instances/i-2.txt, epsilon-greedy,12800,0.002,24.5,1349.04
../instances/i-2.txt, epsilon-greedy,12800,0.02,24.5,316.76
../instances/i-2.txt, epsilon-greedy,12800,0.2,24.5,527.48
../instances/i-2.txt, epsilon-greedy,51200,0.002,24.5,1878.32
../instances/i-2.txt, epsilon-greedy,51200,0.02,24.5,498.68
../instances/i-2.txt, epsilon-greedy,51200,0.2,24.5,2042.74
../instances/i-2.txt, epsilon-greedy,204800,0.002,24.5,2504.58
../instances/i-2.txt, epsilon-greedy,204800,0.02,24.5,1124.04
../instances/i-2.txt, epsilon-greedy,204800,0.2,24.5,8215.98
../instances/i-2.txt, kl-ucb,50,0.0,24.5,7.28
../instances/i-2.txt, kl-ucb,200,0.0,24.5,18.1
../instances/i-2.txt, kl-ucb,800,0.0,24.5,45.8
../instances/i-2.txt, kl-ucb,3200,0.0,24.5,85.32
../instances/i-2.txt, kl-ucb,12800,0.0,24.5,108.48
../instances/i-2.txt, kl-ucb,51200,0.0,24.5,119.96
../instances/i-2.txt, kl-ucb,204800,0.0,24.5,125.04
../instances/i-2.txt, round-robin,50,0.0,24.5,9.88
../instances/i-2.txt, round-robin,200,0.0,24.5,38.44
../instances/i-2.txt, round-robin,800,0.0,24.5,158.54
../instances/i-2.txt, round-robin,3200,0.0,24.5,641.04
../instances/i-2.txt, round-robin,12800,0.0,24.5,2554.08
../instances/i-2.txt, round-robin,51200,0.0,24.5,10211.18
../instances/i-2.txt, round-robin,204800,0.0,24.5,40942.98
../instances/i-2.txt, thompson-sampling,50,0.0,24.5,6.78
../instances/i-2.txt, thompson-sampling,200,0.0,24.5,14.92
../instances/i-2.txt, thompson-sampling,800,0.0,24.5,29.6
../instances/i-2.txt, thompson-sampling,3200,0.0,24.5,46.98
../instances/i-2.txt, thompson-sampling,12800,0.0,24.5,51.68
../instances/i-2.txt, thompson-sampling,51200,0.0,24.5,38.2
../instances/i-2.txt, thompson-sampling,204800,0.0,24.5,29.7
../instances/i-2.txt, ucb,50,0.0,24.5,8.06
../instances/i-2.txt, ucb,200,0.0,24.5,24.08
../instances/i-2.txt, ucb,800,0.0,24.5,69.6
../instances/i-2.txt, ucb,3200,0.0,24.5,151.84
../instances/i-2.txt, ucb,12800,0.0,24.5,234.56
../instances/i-2.txt, ucb,51200,0.0,24.5,310.62
../instances/i-2.txt, ucb,204800,0.0,24.5,383.58
../instances/i-3.txt, epsilon-greedy,50,0.002,24.5,38.0
../instances/i-3.txt, epsilon-greedy,50,0.02,24.5,33.74
../instances/i-3.txt, epsilon-greedy,50,0.2,24.5,16.38
../instances/i-3.txt, epsilon-greedy,200,0.002,24.5,146.48
../instances/i-3.txt, epsilon-greedy,200,0.02,24.5,87.78
../instances/i-3.txt, epsilon-greedy,200,0.2,24.5,40.0
../instances/i-3.txt, epsilon-greedy,800,0.002,24.5,480.4
../instances/i-3.txt, epsilon-greedy,800,0.02,24.5,159.32
../instances/i-3.txt, epsilon-greedy,800,0.2,24.5,100.62
../instances/i-3.txt, epsilon-greedy,3200,0.002,24.5,1160.24
../instances/i-3.txt, epsilon-greedy,3200,0.02,24.5,249.88
../instances/i-3.txt, epsilon-greedy,3200,0.2,24.5,318.4
../instances/i-3.txt, epsilon-greedy,12800,0.002,24.5,1726.72
../instances/i-3.txt, epsilon-greedy,12800,0.02,24.5,387.68
../instances/i-3.txt, epsilon-greedy,12800,0.2,24.5,1130.2
../instances/i-3.txt, epsilon-greedy,51200,0.002,24.5,2406.84
../instances/i-3.txt, epsilon-greedy,51200,0.02,24.5,794.02
../instances/i-3.txt, epsilon-greedy,51200,0.2,24.5,4310.04
../instances/i-3.txt, epsilon-greedy,204800,0.002,24.5,3511.78
../instances/i-3.txt, epsilon-greedy,204800,0.02,24.5,2070.92
../instances/i-3.txt, epsilon-greedy,204800,0.2,24.5,17016.54
../instances/i-3.txt, kl-ucb,50,0.0,24.5,16.7
../instances/i-3.txt, kl-ucb,200,0.0,24.5,54.22
../instances/i-3.txt, kl-ucb,800,0.0,24.5,94.98
